date,close_raw,high_raw,low_raw,open_raw,volume_raw,vix,ret1,ema_10,z_close_20,vix_z_20,close,finbert_pos,finbert_neg,tb_polarity,tb_subjectivity,headlines_count
2025-09-23,6656.919922,6699.52002,6645.580078,6692.439941,5633620000,16.63999939,-0.005502159,6617.481138,1.348022043,1.571227308,6656.919922,0.471237511,0.528762489,-0.037408339,0.71643835,7
2025-09-24,6637.970215,6672.660156,6621.759766,6669.790039,5459180000,16.18000031,-0.002846618,6621.206425,1.009434493,0.851014159,6637.970215,0.646082919,0.353917081,0.164803089,0.204171278,24
2025-09-25,6604.720215,6619,6569.220215,6608.189941,5874670000,16.73999977,-0.005009061,6618.208932,0.535171834,1.45418329,6604.720215,0.445261227,0.554738773,0.118778736,0.506448382,32
2025-09-26,6643.700195,6648.970215,6604.430176,6615.379883,5103110000,15.28999996,0.005901837,6622.843707,0.923424816,-0.612990125,6643.700195,0.382786135,0.617213865,0.243606371,0.450446602,31
2025-09-29,6661.209961,6677.310059,6644.490234,6661.580078,5358760000,16.12000084,0.002635544,6629.81939,1.037304433,0.542426928,6661.209961,0.301670805,0.698329195,0.036107463,0.333264686,8
2025-09-30,6688.459961,6691.25,6641,6656.189941,6057210000,16.28000069,0.004090848,6640.481312,1.313160042,0.939271443,6688.459961,0.231644633,0.768355367,-0.140202877,0.27191922,23
2025-10-01,6711.200195,6718.47998,6656.200195,6664.919922,6037950000,16.29000092,0.003399921,6653.339291,1.522350612,0.965466751,6711.200195,0.716515508,0.283484492,0.156622394,0.402569103,30
2025-10-02,6715.350098,6731.939941,6693.22998,6731.310059,5416130000,16.62999916,0.000618355,6664.613983,1.435864859,1.355753328,6715.350098,0.370095575,0.629904425,0.180392524,0.765745822,7
2025-10-03,6715.790039,6750.870117,6705.669922,6722.140137,5713110000,16.64999962,6.55e-05,6673.91872,1.357644244,1.245523997,6715.790039,0.445519741,0.554480259,0.080638599,0.393921759,23
2025-10-06,6740.279785,6749.52002,6717.779785,6733.859863,5604460000,16.37000084,0.003646592,6685.984368,1.631337636,0.733127827,6740.279785,0.142497988,0.857502012,0.18548359,0.511274373,24
